CustomerID , CustomerName , CreateDate
100043740 , * ACOUSTICS INC. , 11/12/2004
100043803 , * &ADVANTAGE LEGAL GROUP , 23/04/2004
100043804 , * TEAM NISSAN , 12/4/2004
100043807 , #NAME? , 12/4/2004
100043856 , #NAME? , 12/4/2004
100043862 , "1 MONARCH DR_IMAGE STREAM MEDICAL INC." , 12/4/2004
100043872 , 101 Constitution Trust , 12/4/2004
100043895 , 111 N BROADWAY-OFC-Midwest Management Inc , 12/4/2004
100043913 , 1205 -SDWAN -R12-3-26 , 12/4/2004
100043926 , 1208-R12 EDI BI , 12/4/2004
100043936 , 1216 EPL Provide WUAT , 12/4/2004
100043953 , 1218-sbae provide -3-23 , 12/4/2004
100043977 , 13.1 Test of Rejection Reason , 12/4/2004
100043987 , 13022SIPOrder Inc. , 12/4/2004
100043991 , "1360 Rail Head LLC" , 12/4/2004
100044009 , 13mayhqmm , 12/4/2004
100044042 , 151 FOODS INC , 12/4/2004
100044051 , 158 W GAY ST ODS KPI , 12/4/2004
100044097 , 1ST AMERICAN MANAGEMENT , 12/4/2004
100044127 , 1ST PREFERRED TECH - A V , 12/4/2004
100044146 , 1stJuneIndirectCompany , 12/4/2004
100044172 , 2.ink Studio , 12/4/2004
100044173 , "211 TERRY OWNERS INC" , 12/4/2004
100044191 , "2189 Holding LLC" , 12/4/2004
100044197 , 229 EAST ST LLC , 12/4/2004
100044203 , 25thDemoComp , 12/4/2004
100044208 , 2R'NEW1 LLC , 12/4/2004
100044212 , 3 DOGS PROPERTIES LLC , 12/4/2004
100044217 , 3 FLOYDS BREWING CO , 12/4/2004
100044224 , 3 MONTH PROMO_FINANCE , 12/4/2004
100044225 , 300 EUROPEAN CONDOS , 12/4/2004
100044226 , 30_BANs_Test , 12/4/2004
100044236 , 371083_retest , 12/4/2004
100044246 , "3D Scan IT  Inc" , 12/4/2004
100044253 , 3D at Depth , 12/4/2004
100044257 , 400 SOUTH MAIN LLC , 12/4/2004
100044267 , 413574_reproduce , 12/4/2004
100044269 , 425838_defect , 12/4/2004
100044271 , 437159_reproduce , 12/4/2004
100044273 , 4550 N POINT PKWY_STONEBRANCH INC , 12/4/2004
100044275 , 4PX , 12/4/2004
100044282 , 5600 BIG CANON DR , 12/4/2004
100044291 , 6 Smith , 12/4/2004
100044300 , 6 Smith , 12/4/2004
100044306 , 6 Smith , 12/4/2004
100044308 , 6 Smith , 12/4/2004
100044311 , 6 Smith , 12/4/2004
100044326 , 614 BUILDING LLC , 12/4/2004
100044339 , 6May EPL , 12/4/2004
100044340 , 800 E Business Center Dr , 12/4/2004
100044360 , 8I , 12/4/2004
100044373 , 8thJuneIndirect , 12/4/2004
100044382 , 99 BOTTLES TAPROOM-BOTTLE SHOP , 12/4/2004
100044388 , A & R Mechanical , 12/4/2004
100044392 , A & S AUTO SALES , 12/4/2004
100044394 , A Place of Change , 12/4/2004
100044431 , A1OVERHEADDOORS , 12/4/2004
100044432 , "AA MARBLE AND GRANITE  LLC. DBA ANDREWS AND ASSOCIATES" , 12/4/2004
100044433 , "AAA Refrigeration Service  Inc." , 12/4/2004
100044455 , AAA-ACME RUBBER CO , 12/4/2004
100044458 , AAD_RO_1624866895 , 12/4/2004
100044461 , AAD_SW_1624944921 , 12/4/2004
100044466 , AAQ_JZ_1622446610 , 12/4/2004
100044481 , AAR Corp , 12/4/2004
100044483 , AAUTMTestR13 , 12/4/2004
100044486 , AAZ_TE_1626669888 , 12/4/2004
100044492 , ABC , 12/4/2004
100044500 , ABC PEDIATRIC GROUP , 12/4/2004
100044509 , ABC PLUMBING , 12/4/2004
100044524 , ABCD , 12/4/2004
100044530 , ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ_ABCDEFGHIJKLMNOPQRSTUVWXYZ , 12/4/2004
100044609 , ABCD_DUPLICATE_14-JUN-21 , 12/4/2004
100044902 , ABCSd , 12/4/2004
100044953 , ABCSeqwe , 12/4/2004
100044955 , ABC_123 , 12/4/2004
100044970 , ABH_SS_1620884306 , 12/4/2004
100044972 , ABM , 12/4/2004
100044982 , ABN_EC_1621579438 , 12/4/2004
100044987 , ABY_SC_1625044401 , 12/4/2004
100044990 , ACCENT SIGN & AWNING COMPANY , 12/4/2004
100044994 , ACCUTECH PACKAGING , 12/4/2004
100044995 , ACD_BVE_06042021 , 12/4/2004
100044999 , ACD_CNA_290421 , 12/4/2004
100045002 , ACD_CNA_30042021 , 12/4/2004
100045006 , ACD_EDI_CNA_290421 , 12/4/2004
100045008 , ACD_EPL_PR_060421 , 12/4/2004
100045031 , ACD_WLAN_03042021 , 12/4/2004
100045038 , ACE COMPUTERS , 12/4/2004
100045055 , ACE HARDWARE , 12/4/2004
100045100 , ACE_WM_1624417686 , 12/4/2004
100045138 , ACJ_OK_1621488944 , 12/4/2004
100045144 , ACK LLC , 12/4/2004
100045146 , ACOSTA NURSERY OF DADE INC , 12/4/2004
100045168 , ACP_HR_1624620545 , 12/4/2004
100045173 , ADAPTIVE BIOTECHNOLOGIES CORP , 12/4/2004
100045180 , ADEBAYOUTMTEST , 12/4/2004
100045184 , ADQ_FP_1621168701 , 12/4/2004
100045237 , ADSEAFS , 12/4/2004
100045247 , ADSERO IP , 12/4/2004
100145330 , ADV-SDWAN , 12/4/2004
100145332 ,  , 
100145402 ,  , 
100145453 ,  , 
100145454 ,  , 
100145477 ,  , 
100145520 ,  , 
100145547 ,  , 
100145583 ,  , 
100145645 ,  , 
130000005 ,  , 
130000059 ,  , 
130000067 ,  , 
130000071 ,  , 
130000075 ,  , 
130000079 ,  , 
130000081 ,  , 
130000111 ,  , 
130000123 ,  , 
130000127 ,  , 
130000133 ,  , 
130000135 ,  , 
130000143 ,  , 
130000151 ,  , 
130000155 ,  , 
130000160 ,  , 
130000161 ,  , 
130000180 ,  , 
130000206 ,  , 
130000229 ,  , 
130000239 ,  , 
130000254 ,  , 
130000282 ,  , 
130000300 ,  , 
130000302 ,  , 
130000306 ,  , 
130000382 ,  , 
130000489 ,  , 
130000491 ,  , 
130000507 ,  , 
130000511 ,  , 
130000514 ,  , 
130000519 ,  , 
130000520 ,  , 
130130612 ,  , 
130130648 ,  , 
130130770 ,  , 
130130841 ,  , 
130261208 ,  , 
130261217 ,  , 
130261219 ,  , 
130261457 ,  , 
130261532 ,  , 
130261574 ,  , 
130261752 ,  , 
130261925 ,  , 
130261986 ,  , 
130261992 ,  , 
130261997 ,  , 
130262004 ,  , 
130262006 ,  , 
130262020 ,  , 
130262021 ,  , 
130262023 ,  , 
130262028 ,  , 
130262096 ,  , 
130262129 ,  , 
130262131 ,  , 
130262133 ,  , 
130262136 ,  , 
130262139 ,  , 
130262146 ,  , 
130262149 ,  , 
130262150 ,  , 
130262152 ,  , 
130262164 ,  , 
130262166 ,  , 
130262238 ,  , 
130262288 ,  , 
130262298 ,  , 
130262333 ,  , 
130262334 ,  , 
130262337 ,  , 
130262339 ,  , 
130262341 ,  , 
130262343 ,  , 
130262353 ,  , 
130262364 ,  , 
130262368 ,  , 
130262435 ,  , 
130262438 ,  , 
130262443 ,  , 
130262448 ,  , 
130262451 ,  , 
130262461 ,  , 
130262481 ,  , 
130262487 ,  , 
130262497 ,  , 
130262580 ,  , 
130262587 ,  , 
130262620 ,  , 
